Country or region,Tests,Positive,As of,Tests per million,Positive per thousand tests
Argentina,7385,1265,03-Apr,164,171.0
Armenia,3603,663,02-Apr,1221,74.0
Australia,277355,"5,358",03-Apr,10919,19.0
Austria,98343,"11,350",03-Apr,11047,101.0
Azerbaijan,30000,443,03-Apr,3031,15.0
Bahrain,37996,668,03-Apr,24210,17.6
Bangladesh,1602,54,01-Apr,10,33.7
Barbados,382,45,01-Apr,1331,118.0
Belarus,32000,362,03-Apr,3371,11.3
Belgium,18360,"1,486",18-Mar,1594,81.0
Bolivia,591,97,19-Mar,52,164.0
Bosnia and Herzegovina,4051,529,02-Apr,1175,131.0
Brazil,54824,"7,910",02-Apr,261,144.3
Canada,280550,"11,283",02-Apr,7403,40.0
Canada:AB,57096,968,02-Apr,12938,17.0
Canada:BC,45966,1121,02-Apr,8994,24.0
Canada:MB,11327,152,02-Apr,8223,13.4
Canada:NB,4520,91,02-Apr,5795,20.0
Canada:NL,2333,135,30-Mar,4475,63.0
Canada:NT,833,1,30-Mar,18551,1.2
Canada:NS,5172,127,30-Mar,5291,25.0
Canada:ON,57874,"2,392",01-Apr,3934,41.0
Canada:PE,608,18,30-Mar,3844,30.0
Canada:QC,83570,"6,101",03-Apr,9788,73.0
Canada:SK,10528,193,01-Apr,8909,18.0
Canada:YT,598,5,30-Mar,14558,8.4
Chile,35142,"2,738",31-Mar,1843,78.0
China:Guangdong,320000,,20-Feb,2820,1.4
Colombia,21129,"1,161",02-Apr,438,55.0
Costa Rica,3845,347,31-Mar,769,90.0
Croatia,8352,"1,011",02-Apr,2049,121.0
Czechia,67281,"3,858",02-Apr,6318,57.0
Denmark,40863,"3,946",03-Apr,6892,97.0
Ecuador,9604,"3,163",02-Apr,562,329.0
Egypt,25000,865,25-Mar,250,34.6
Estonia,15725,858,02-Apr,11838,55.0
Finland,26500,"1,615",03-Apr,4790,61.0
France,224254,"54,627",02-Apr,3346,244.0
Germany,918460,"64,906",29-Mar,11046,71.0
Greece,15961,"1,212",30-Mar,1482,76.0
Grenada,18,0,19-Mar,162,0.0
Hong Kong,90000,682,30-Mar,12028,8.0
Hungary,17769,623,03-Apr,1818,35.0
Iceland,22195,"1,364",03-Apr,60932,61.0
India,8345,"2,183",03-Apr,49,262.0
Indonesia,7193,"1,790",02-Apr,27,249.0
Iran,80000,"21,638",22-Mar,962,270.0
Ireland,30213,"3,235",30-Mar,6345,107.0
Israel,90394,"6,901",02-Apr,9852,76.0
Italy,619849,"119,827",03-Apr,10276,193.0
Italy:Emilia-Romagna,63682,"15,932",03-Apr,14280,250.0
Italy:Liguria,12934,"3,965",03-Apr,8341,307.0
Italy:Lombardy,135051,"47,520",03-Apr,13424,352.0
Italy:Marche,13678,"4,230",03-Apr,8968,309.0
Italy:Piedmont,34281,"10,896",03-Apr,7869,318.0
Italy:Tuscany,44460,"5,499",03-Apr,11921,124.0
Italy:Veneto,126490,"10,464",03-Apr,25783,83.0
Jamaica,442,44,01-Apr,162,100.0
Japan,39446,"2,617",03-Apr,313,66.0
Japan:Tokyo,4104,684,02-Apr,295,167.0
Kazakhstan,5093,,13-Mar,276,
Kosovo,1605,132,03-Apr,887,82.0
Kyrgyzstan,8186,107,31-Mar,1281,13.0
Latvia,18198,493,03-Apr,9478,27.0
Lithuania,18432,696,03-Apr,6596,38.0
Malaysia,47723,"3,333",03-Apr,1456,70.0
Malta,4462,139,27-Mar,9040,31.0
Mexico,9481,"1,049",28-Mar,75,111.0
Montenegro,1193,174,03-Apr,1632,136.0
Nepal,1185,6,02-Apr,42,5.0
Netherlands,46810,"7,705",26-Mar,2686,165.0
New Zealand,29485,772,03-Apr,5930,26.0
North Macedonia,4506,430,03-Apr,2169,95.0
Norway,94265,"4,876",01-Apr,16812,49.0
Pakistan,30308,"2,450",03-Apr,143,166.0
Palestine,2519,,16-Mar,499,
Panama,7333,"1,317",01-Apr,1756,180.0
Peru,12669,852,27-Mar,386,67.0
Philippines,5265,"3,018",03-Apr,52,573.0
Poland,66938,"3,149",03-Apr,1744,47.0
Portugal,52086,"7,443",31-Mar,5068,143.0
Romania,31657,3183,03-Apr,1632,101.0
Russia,575000,"4,149",03-Apr,3918,7.2
Scotland,19535,"3,001",03-Apr,3592,176.0
Serbia,5008,"1,171",02-Apr,719,234.0
Singapore,39000,558,25-Mar,6838,14.0
Slovakia,11742,450,03-Apr,2154,38.0
Slovenia,24857,911,01-Apr,11870,37.0
South Africa,44292,"1,380",01-Apr,754,31.0
South Korea,443273,"10,062",03-Apr,8572,23.0
Spain,355000,"24,926",21-Mar,7596,70.0
Sweden,36900,"4,435",31-Mar,4306,120.0
Switzerland,139330,"18,267",02-Apr,16258,131.0
Taiwan,34557,348,03-Apr,1453,10.1
Thailand,17829,"1,524",30-Mar,257,85.0
Trinidad and Tobago,595,90,01-Apr,436,151.0
Turkey,141716,"20,921",03-Apr,1704,148.0
Ukraine,4404,942,03-Apr,105,214.0
United Arab Emirates,220000,1024,03-Apr,22918,4.7
United Kingdom,173784,"38,168",03-Apr,2573,220.0
United States(unofficial),1350219,"241,734",02-Apr,4114,179.0
United States:CA,92500*,"9,191",02-Apr,2341,99.0
United States:FL,91722,"9,585",03-Apr,4271,105.0
United States:IL,43656,"7,695",02-Apr,3445,176.0
United States:LA,53645,"10,297",03-Apr,11512,192.0
United States:NY,260520,"102,863",03-Apr,13392,395.0
United States:NJ,67503,"29,895",03-Apr,7600,443.0
United States:MI,31177,"10,791",02-Apr,3305,326.0
United States:TX,55764,"5,330",03-Apr,1923,96.0
United States:WA,79418,"6,585",01-Apr,10429,86.0
Uruguay,1538,189,24-Mar,443,123.0
Venezuela,1779,143,31-Mar,62,80.4
Vietnam,73164,233,03-Apr,760,3.2
